"scenario","run","seed","model","precision","recall","f1","accuracy","true_negatives","false_positives","false_negatives","true_positives","roc_auc","pr_auc","best_threshold","best_precision","best_recall","best_f1","best_true_negatives","best_false_positives","best_false_negatives","best_true_positives","label_source","evaluation_mode","train_samples"
"balanced","10","1010","ensemble_majority_vote","0.405063291139241","1","0.576576576576577","0.641904761904762","209","188","0","128","1","1","2.26747968949059","1","1","1","397","0","0","128","traffic_ground_truth_ip_window","warmup_normal_baseline","92"
"balanced","10","1010","ocsvm","0.401253918495298","1","0.572706935123042","0.636190476190476","206","191","0","128","1","1","6.73394635168053","1","1","1","397","0","0","128","traffic_ground_truth_ip_window","warmup_normal_baseline","92"
"balanced","10","1010","isolation_forest","0.361581920903955","1","0.531120331950207","0.56952380952381","171","226","0","128","0.989334068010076","0.924627241319922","0.130576765587814","0.945736434108527","0.953125","0.949416342412451","390","7","6","122","traffic_ground_truth_ip_window","warmup_normal_baseline","92"
"balanced","10","1010","isolation_forest_tuned","0.353591160220994","1","0.522448979591837","0.554285714285714","163","234","0","128","0.991931675062972","0.946237077922114","0.107927096436227","0.920863309352518","1","0.958801498127341","386","11","0","128","traffic_ground_truth_ip_window","warmup_normal_baseline","92"
"aggressive","1","1011","lof","0.529172320217096","1","0.692102928127773","0.619934282584885","176","347","0","390","0.986934353091141","0.984351045566334","1.71380251789036","0.997109826589595","0.884615384615385","0.9375","522","1","45","345","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","1","1011","ensemble_majority_vote","0.529172320217096","1","0.692102928127773","0.619934282584885","176","347","0","390","0.99861254105996","0.998062664558151","4.09682712833472","0.979899497487437","1","0.989847715736041","515","8","0","390","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","1","1011","isolation_forest","0.527027027027027","1","0.690265486725664","0.616648411829135","173","350","0","390","0.957660440260823","0.842978095366635","0.191901672185733","0.921241050119332","0.98974358974359","0.954264524103832","490","33","4","386","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","1","1011","ocsvm","0.527027027027027","1","0.690265486725664","0.616648411829135","173","350","0","390","0.999043977055449","0.998721227621483","10.5212536539709","0.997442455242967","1","0.998719590268886","522","1","0","390","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","1","1011","isolation_forest_tuned","0.526315789473684","1","0.689655172413793","0.615553121577218","172","351","0","390","0.903167132421435","0.770689721424421","0.178295421767234","0.7624750499002","0.979487179487179","0.857463524130191","404","119","8","382","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","2","1012","lof","0.778723404255319","0.938461538461538","0.851162790697674","0.859340659340659","416","104","24","366","0.962652859960552","0.956840708625465","0.490777771102396","0.957317073170732","0.805128205128205","0.874651810584958","506","14","76","314","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
